TERM,DESCRIPTION,PARENT
Person.skood,SKOOD,Person
Person.gender,Gender,Person
Person.birthDate,Birthdate,Person
Person.birthYear,Year of birth,Person
Person.agreementDate,Agreement date,Person
Person.ageToday,Age at present,Person
Person.ageAtAgreement,Age at the agreement date,Person
Person.ageGroupAtAgreement,,Person
Person.deathDate,Date of death,Person
Person.deathYear,Year of death,Person
PersonPortrait.lastBmi,Last BMI value,PersonPortrait
PersonPortrait.lastWeight,Last weight value,PersonPortrait
PersonPortrait.lastHeight,Last height value,PersonPortrait
PersonPortrait.bmiDate,"The date of last weight, height and BMI measurement",PersonPortrait
PersonPortrait.bmiSource,Last bmi value source,PersonPortrait
PersonPortrait.lastSmokingStatus,Last smoking status,PersonPortrait
PersonPortrait.smokingDate,Date of last smoking report,PersonPortrait
PersonPortrait.smokingSource,Last smoking status source,PersonPortrait
PersonPortrait.lastAlcoholStatus,Last status of alcohol consumption,PersonPortrait
PersonPortrait.lastAlcoholStyle,Alcohol consumption habits,PersonPortrait
PersonPortrait.alcoholUnitPerDay,Daily alcohol consumption during the last year (1 unit = 10 g of pure alcohol),PersonPortrait
PersonPortrait.alcoholDate,Date of last report of alcohol consumption,PersonPortrait
PersonPortrait.nationality,Nationality,PersonPortrait
PersonPortrait.lastEducation,Last education,PersonPortrait
PersonPortrait.educationDate,The date of the last education,PersonPortrait
PersonPortrait.educationSource,Last education source,PersonPortrait
PersonPortrait.residencyCountry,Country of residence,PersonPortrait
PersonPortrait.residencyRegion,County of residence,PersonPortrait
PersonPortrait.residencyCity,City of residence,PersonPortrait
PersonPortrait.settlementRegionType,Settlement region type,PersonPortrait
DiagnosisConsolidated.icd10,,DiagnosisConsolidated
DiagnosisConsolidated.earliestDate,,DiagnosisConsolidated
DiagnosisConsolidated.latestDate,,DiagnosisConsolidated
Sample.vkood,,Sample
Sample.visitNumber,,Sample
InformedConsent.icType,,InformedConsent
InformedConsent.icDate,,InformedConsent
InformedConsent.validTo,,InformedConsent
InformedConsent.feedbackType,,InformedConsent
InformedConsent.acceptedTime,,InformedConsent
Answerset.answersetAgreementDate,Answerset agreement date,Answerset
Answerset.answersetStartedDate,,Answerset
Answerset.answersetFinishedDate,,Answerset
Answerset.isFirst,First answerset,Answerset
Answerset.isLast,Last answerset,Answerset
Answerset.visitNumber,answerset/visit number,Answerset
Answerset.ageAtAgreement,age of answerset agreement date,Answerset
Answerset.ageGroupAtAgreement,,Answerset
Answerset.questionnaireType,,Answerset
Answerset.questionnaireForm,,Answerset
Answerset.questionnaireLanguage,,Answerset
Answerset.questionnaireStatus,,Answerset
Answerset.agreementSigningTime,,Answerset
Answerset.participationInResearchOther,,Answerset
Nationality.nationality,Nationality,Nationality
Nationality.nationalityOther,,Nationality
Nationality.motherTongue,Mother tongue,Nationality
Nationality.motherTongueOther,,Nationality
Education.isStudying,,Education
Education.highestEducationLevel,Higest level of education,Education
Education.generalEducation,,Education
Work.hasWorked3Months,,Work
Work.isWorking,,Work
Work.currentOccupation,,Work
Work.currentOccupationType,,Work
Work.hoursPerWeek,,Work
Work.currentOccupationStartingYear,,Work
Work.physActivityCurrentOccupation,,Work
Work.isMainOccupation,,Work
Work.mainOccupation,,Work
Work.mainOccupationType,,Work
Work.mainOccupationStartingYear,,Work
Work.mainOccupationEndingYear,,Work
Work.yearsInMainOccupation,,Work
Work.physicalActivityMainOccupation,,Work
Work.hoursPerWeekMainOccupation,,Work
Work.reasonForNotWorking,,Work
SeveralReasonsForNotWorking.unemployed,,Work
PhysicalActivities.doesPhysicalExercise,,PhysicalActivities
PhysicalActivities.hasDoneProfessionalSport,,PhysicalActivities
PhysicalActivities.hasDoneProfessionalSportV1,,PhysicalActivities
PhysicalActivities.hoursPerWeekPhysicalExercises,,PhysicalActivities
PhysicalActivities.hoursPerDayPhyscalActivities,,PhysicalActivities
PhysicalExercise.code,,PhysicalActivities
PhysicalExercise.practicesNow,,PhysicalActivities
PhysicalExercise.lastTrainingTime,,PhysicalActivities
PhysicalExercise.timesPerWeek,,PhysicalActivities
PhysicalExercise.lengthOfPractice,,PhysicalActivities
PhysicalExercise.lengthOfPracticeMinutes,,PhysicalActivities
PhysicalExercise.yearsOfPractice,,PhysicalActivities
ProfessionalSportPast.code,,PhysicalActivities
ProfessionalSportPast.yearsOfPractice,,PhysicalActivities
ProfessionalSport.code,,PhysicalActivities
ProfessionalSport.timesPerWeek,,PhysicalActivities
ProfessionalSport.lengthOfPractice,,PhysicalActivities
ProfessionalSport.lengthOfPracticeMinutes,,PhysicalActivities
ProfessionalSport.yearsOfPractice,,PhysicalActivities
ProfessionalSport.lastTrainingTime,,PhysicalActivities
SpareTimeActivities.speedwalkingPerWeek,Speed walking,PhysicalActivities
SpareTimeActivities.moderateWalkingPerWeek,Moderate speed walking,PhysicalActivities
SpareTimeActivities.slowWalkingPerWeek,Slow walking,PhysicalActivities
SpareTimeActivities.makingFoodPerWeek,Making food,PhysicalActivities
SpareTimeActivities.shoppingPerWeek,Shopping,PhysicalActivities
SpareTimeActivities.cleaningPerWeek,Cleaning,PhysicalActivities
SpareTimeActivities.laundryPerWeek,Doing laundry and ironing,PhysicalActivities
SpareTimeActivities.childcarePerWeek,Taking care of kids,PhysicalActivities
SpareTimeActivities.elderlyCarePerWeek,Taking care of the elderly or the disabled persons,PhysicalActivities
SpareTimeActivities.gardeningPerWeek,Gardening or cleaning snow,PhysicalActivities
SpareTimeActivities.householdRepairPerWeek,Household repairworks,PhysicalActivities
SpareTimeActivities.physicalExercisePerWeek,Physical exercise,PhysicalActivities
SpareTimeActivities.watchingTvPerWeek,Watching TV and movies,PhysicalActivities
SpareTimeActivities.readingPerWeek,Reading,PhysicalActivities
SpareTimeActivities.totalHours,,PhysicalActivities
EatingHabits.coffeePerDay,,EatingHabits
EatingHabits.teaPerDay,,EatingHabits
EatingHabits.breadPerDay,,EatingHabits
EatingHabits.whiteBreadPerDay,,EatingHabits
EatingHabits.eatingHabit,,EatingHabits
EatingHabits.addsSalt,,EatingHabits
EatingHabits.eatingPreferences1,,EatingHabits
EatingHabits.eatingPreferences2,,EatingHabits
EatingHabits.eatingPreferences3,,EatingHabits
EatingHabits.eatingPreferences4,,EatingHabits
EatingHabits.eatingPreferences5,,EatingHabits
EatingHabits.eatingPreferences6,,EatingHabits
EatingHabits.eatingPreferences7,,EatingHabits
EatingHabits.eatingPreferences8,,EatingHabits
EatingHabits.eatingPreferences9,,EatingHabits
EatingHabits.eatingPreferences10,,EatingHabits
